 x,y    slot_id
 
 1,1	20001
 2,1	20002
 3,1	20003
 4,1	20004
 5,1	20005
 6,1	20006
 7,1	20007
 8,1	20008
 9,1	20009
 1,2	20010
 2,2	20011
 3,2	20012
 4,2	20013
 5,2	20014
 6,2	20015
 7,2	20016
 8,2	20017
 9,2	20018
 1,6	20020
 2,6	20021
 3,6	20022
 4,6	20023
 5,6	20024
 6,6	20025
 7,6	20026
 8,6	20027
 9,6	20028
 1,7	20030
 2,7	20031
 3,7	20032
 4,7	20033
 5,7	20034
 6,7	20035
 7,7	20036
 8,7	20037
 9,7	20038
 1,3	20100
 2,3	20101
 3,3	20102
 4,3	20103
 5,3	20104
 6,3	20105
 7,3	20106
 8,3	20107
 1,4	20110
 2,4	20111
 3,4	20112
 4,4	20113
 5,4	20114
 6,4	20115
 7,4	20116
 8,4	20117
 9,4	20118
 1,5	20120
 2,5	20121
 3,5	20122
 4,5	20123
 5,5	20124
 6,5	20125
 7,5	20126
 8,5	20127
